"","p0","pp","forma","tasa"
"1",0.844155844155844,0.155844155844156,1.14257535029615,0.204438671327227
"2",0.828045977011494,0.171954022988506,1.06725152639233,0.249002371510425
"3",0.776288227901131,0.223711772098869,1.02527733147319,0.24092204276465
"4",0.650649350649351,0.349350649350649,1.13359149660069,0.212385392438193
"5",0.563887725178048,0.436112274821952,0.981135374144832,0.151055176062109
"6",0.474025974025974,0.525974025974026,0.944422905337984,0.109374911228847
"7",0.429409300377042,0.570590699622958,1.07155810318931,0.141240033403479
"8",0.440301633850021,0.559698366149979,1.01598216535761,0.133072891658654
"9",0.45974025974026,0.54025974025974,0.908035992983836,0.115076812731903
"10",0.651026392961877,0.348973607038123,0.772106882055472,0.104415046659342
"11",0.781818181818182,0.218181818181818,0.934753447542651,0.191285833152394
"12",0.854629241726016,0.145370758273984,0.953044410758637,0.241746986439768
