"","p0","pp","forma","tasa"
"1",0.484792626728111,0.515207373271889,1.29329493279011,0.487459218727203
"2",0.469635627530364,0.530364372469636,0.827596829781466,0.148749523882242
"3",0.400921658986175,0.599078341013825,0.965776347400448,0.270059245996354
"4",0.342857142857143,0.657142857142857,0.848483197096874,0.189619364619663
"5",0.294009216589862,0.705990783410138,0.945868706464678,0.141501456038606
"6",0.215238095238095,0.784761904761905,0.903162304479508,0.11458767877501
"7",0.184331797235023,0.815668202764977,0.919645254743237,0.110076740207626
"8",0.188018433179723,0.811981566820277,0.856425033406713,0.117207315498392
"9",0.20952380952381,0.79047619047619,0.875645543549799,0.114016388282125
"10",0.306912442396313,0.693087557603687,0.900294624559554,0.142150867522467
"11",0.35047619047619,0.64952380952381,0.813939216563164,0.173178494931343
"12",0.359447004608295,0.640552995391705,0.676378894853469,0.16590481047756
