"","p0","pp","forma","tasa"
"1",0.802867383512545,0.197132616487455,1.16648327912189,0.214365717088694
"2",0.769180327868852,0.230819672131148,1.17286580946498,0.257162391953775
"3",0.738351254480287,0.261648745519713,1.00886283911447,0.193705666209342
"4",0.648765432098765,0.351234567901235,1.10903372722547,0.226361245502384
"5",0.544802867383513,0.455197132616487,0.990600674173613,0.158659395374692
"6",0.419135802469136,0.580864197530864,1.00394884373756,0.117606970758997
"7",0.40621266427718,0.59378733572282,1.10950353826041,0.160705368895362
"8",0.434289127837515,0.565710872162485,0.981957039660246,0.132178141797718
"9",0.490740740740741,0.509259259259259,0.955216379696805,0.132715061799951
"10",0.666069295101553,0.333930704898447,0.869305412646562,0.114184621851975
"11",0.774074074074074,0.225925925925926,1.01315946853306,0.182579162311084
"12",0.805854241338112,0.194145758661888,1.10583490019778,0.255192189078908
